Preamble,Person,Fan_Person,Place,Fan_Place,Dependent_Variable,True_Category,stimulus_prob
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hospital, the Doctor is ",Doctor,0,Hospital,1,absent,absent,[-15.728839874267578]
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Park, the Doctor is ",Doctor,0,Park,7,absent,absent,[-14.316129684448242]
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Farm, the Doctor is ",Doctor,0,Farm,2,absent,absent,[-14.568170547485352]
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Church, the Doctor is ",Doctor,0,Church,3,absent,absent,[-16.412532806396484]
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the School, the Doctor is ",Doctor,0,School,8,absent,absent,[-14.430322647094727]
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Bank, the Doctor is ",Doctor,0,Bank,5,absent,absent,[-16.10111427307129]
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hotel, the Doctor is ",Doctor,0,Hotel,1,absent,absent,[-15.876091003417969]
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Restaurant, the Doctor is ",Doctor,0,Restaurant,1,absent,absent,[-11.187185287475586]
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Construction Site, the Doctor is ",Doctor,0,Construction Site,2,absent,absent,[-11.558225631713867]
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Library, the Doctor is ",Doctor,0,Library,3,absent,absent,[-14.89303970336914]
