Preamble,Person,Fan_Person,Place,Fan_Place,Dependent_Variable,True_Category,stimulus_prob
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hospital, the Doctor is ",Doctor,0,Hospital,1,absent,absent,"[-16.276952743530273, -14.17518138885498, -14.840972900390625, -15.673361778259277, -16.657581329345703, -15.865275382995605, -15.401107788085938, -15.670243263244629, -16.552505493164062, -13.250683784484863, -16.467971801757812, -15.356998443603516, -15.739851951599121, -16.375102996826172, -13.508563041687012, -16.667835235595703, -17.662742614746094, -16.04922103881836, -14.853484153747559, -17.525314331054688, -16.03019905090332, -15.39340591430664, -16.089622497558594, -15.100725173950195, -15.019856452941895, -14.933122634887695, -15.609230041503906, -15.65321159362793, -14.379298210144043, -17.548755645751953, -18.130674362182617, -15.588678359985352, -15.193603515625, -17.78114128112793, -15.34671401977539, -16.28141212463379, -15.356536865234375, -15.215980529785156, -15.806925773620605, -16.060670852661133, -16.045238494873047, -15.074235916137695, -16.100543975830078, -15.718758583068848, -16.025062561035156, -15.893941879272461, -15.035910606384277, -14.13029670715332, -14.630258560180664, -15.291709899902344]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Park, the Doctor is ",Doctor,0,Park,7,absent,absent,"[-15.552451133728027, -13.38891315460205, -16.282634735107422, -16.589385986328125, -15.209051132202148, -16.827110290527344, -14.365917205810547, -13.122581481933594, -15.208358764648438, -14.553495407104492, -15.260303497314453, -15.78891372680664, -16.10124397277832, -14.141977310180664, -16.865989685058594, -17.311279296875, -15.069441795349121, -15.397472381591797, -12.82101821899414, -16.515625, -13.657215118408203, -14.475425720214844, -14.854708671569824, -16.15795135498047, -18.437149047851562, -15.433721542358398, -15.688191413879395, -14.0215482711792, -16.37572479248047, -14.982744216918945, -15.009099960327148, -14.940450668334961, -16.79417610168457, -12.687201499938965, -14.442893981933594, -17.49847984313965, -14.140020370483398, -12.988519668579102, -13.822077751159668, -15.572142601013184, -14.606678009033203, -15.046284675598145, -15.382682800292969, -15.128499031066895, -15.690025329589844, -17.58328628540039, -15.790029525756836, -16.781898498535156, -14.79098892211914, -13.2949857711792]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Farm, the Doctor is ",Doctor,0,Farm,2,absent,absent,"[-13.955289840698242, -14.94261360168457, -15.198212623596191, -14.59956169128418, -14.64139175415039, -15.379042625427246, -16.118181228637695, -15.150617599487305, -14.638786315917969, -14.90760612487793, -15.758095741271973, -14.4468994140625, -14.904948234558105, -14.579320907592773, -15.12179946899414, -16.478015899658203, -14.167342185974121, -14.389144897460938, -14.68246078491211, -15.650235176086426, -14.8028564453125, -14.03646183013916, -14.929252624511719, -15.33225154876709, -13.539627075195312, -13.910304069519043, -11.593782424926758, -14.84382152557373, -15.734848022460938, -15.001513481140137, -16.954395294189453, -15.4398193359375, -14.614969253540039, -14.641315460205078, -14.066015243530273, -16.834335327148438, -15.027287483215332, -14.656362533569336, -15.328512191772461, -16.15835952758789, -13.529253959655762, -16.333349227905273, -15.491815567016602, -14.950584411621094, -15.73581600189209, -15.545257568359375, -14.179080963134766, -14.767660140991211, -21.902084350585938, -16.301372528076172]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Church, the Doctor is ",Doctor,0,Church,3,absent,absent,"[-16.502086639404297, -17.102806091308594, -16.68926429748535, -16.99126434326172, -16.186546325683594, -15.87468147277832, -16.443775177001953, -16.36638641357422, -17.07546043395996, -15.30318832397461, -14.789178848266602, -16.07524299621582, -16.499652862548828, -17.722980499267578, -16.902694702148438, -17.2082462310791, -17.080446243286133, -16.619544982910156, -16.39712142944336, -17.37826919555664, -16.83218765258789, -15.411375045776367, -16.966461181640625, -17.708404541015625, -15.448122024536133, -18.836971282958984, -16.956396102905273, -16.83397674560547, -17.231876373291016, -16.03598403930664, -16.60123634338379, -15.868642807006836, -13.685715675354004, -17.050674438476562, -16.700645446777344, -16.383529663085938, -16.391597747802734, -15.912131309509277, -15.228249549865723, -15.5155029296875, -16.982620239257812, -15.206724166870117, -15.449692726135254, -16.280601501464844, -16.79639434814453, -16.082752227783203, -15.357129096984863, -15.669269561767578, -16.316009521484375, -17.602699279785156]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the School, the Doctor is ",Doctor,0,School,8,absent,absent,"[-16.231807708740234, -13.611247062683105, -14.254311561584473, -15.756170272827148, -16.155033111572266, -15.761428833007812, -13.975495338439941, -13.904026985168457, -14.431929588317871, -15.71493911743164, -13.473006248474121, -14.7512845993042, -15.411104202270508, -16.319913864135742, -14.291146278381348, -14.623099327087402, -14.839003562927246, -15.919719696044922, -13.674409866333008, -15.016073226928711, -14.476350784301758, -13.493885040283203, -15.90739631652832, -17.84307098388672, -14.966121673583984, -16.439054489135742, -14.61741828918457, -15.59040641784668, -14.84998607635498, -14.436651229858398, -13.12077522277832, -12.449397087097168, -15.514240264892578, -14.674335479736328, -15.47091293334961, -14.731405258178711, -15.698522567749023, -14.489158630371094, -17.007125854492188, -15.748929977416992, -14.310752868652344, -14.154020309448242, -15.083255767822266, -16.56943130493164, -14.20382022857666, -15.141643524169922, -15.24519157409668, -16.269350051879883, -15.676183700561523, -15.50765609741211]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Bank, the Doctor is ",Doctor,0,Bank,5,absent,absent,"[-16.494464874267578, -14.40141773223877, -16.008766174316406, -16.762062072753906, -16.888708114624023, -16.8348445892334, -15.31706714630127, -16.44413185119629, -14.785985946655273, -15.047955513000488, -15.289974212646484, -15.361807823181152, -14.34428882598877, -15.28685188293457, -16.8720703125, -15.167831420898438, -15.850669860839844, -16.465784072875977, -15.25364875793457, -16.278705596923828, -16.531274795532227, -14.426436424255371, -16.299211502075195, -16.164836883544922, -16.510662078857422, -15.303499221801758, -15.546710014343262, -14.341419219970703, -16.625267028808594, -15.132633209228516, -14.5833740234375, -16.843303680419922, -16.634307861328125, -16.287338256835938, -16.51876449584961, -16.188549041748047, -14.52231502532959, -19.132423400878906, -15.656622886657715, -14.692800521850586, -15.535846710205078, -16.31327247619629, -16.251941680908203, -16.06082534790039, -14.271291732788086, -16.185779571533203, -13.929483413696289, -17.726585388183594, -14.953217506408691, -15.3737211227417]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hotel, the Doctor is ",Doctor,0,Hotel,1,absent,absent,"[-16.1555233001709, -13.524604797363281, -22.134357452392578, -16.265363693237305, -15.601003646850586, -14.693045616149902, -15.210920333862305, -15.265783309936523, -14.87327766418457, -18.987348556518555, -16.285364151000977, -17.444042205810547, -17.499954223632812, -15.973909378051758, -15.152804374694824, -14.63824462890625, -14.999083518981934, -14.791424751281738, -16.149076461791992, -16.823528289794922, -16.526947021484375, -16.91460418701172, -15.922463417053223, -15.170888900756836, -17.087726593017578, -14.506229400634766, -16.383935928344727, -15.91659927368164, -15.653294563293457, -16.176795959472656, -15.760581016540527, -15.2413911819458, -16.787630081176758, -17.279232025146484, -16.754547119140625, -17.05489730834961, -15.19240951538086, -15.593460083007812, -15.950150489807129, -14.15478229522705, -16.74151611328125, -18.69491958618164, -17.91854476928711, -16.07948875427246, -16.314537048339844, -15.76682186126709, -21.788881301879883, -16.107582092285156, -15.849093437194824, -15.863834381103516]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Restaurant, the Doctor is ",Doctor,0,Restaurant,1,absent,absent,"[-12.267566680908203, -13.046348571777344, -11.872404098510742, -10.388227462768555, -16.70050048828125, -11.078819274902344, -12.887945175170898, -13.293903350830078, -12.722524642944336, -15.718591690063477, -15.164103507995605, -14.16340446472168, -14.200370788574219, -12.155183792114258, -13.171661376953125, -11.79026985168457, -10.958769798278809, -12.311813354492188, -17.213184356689453, -10.013328552246094, -13.292173385620117, -14.189046859741211, -14.520088195800781, -11.963930130004883, -11.277610778808594, -12.799652099609375, -19.09642791748047, -13.045543670654297, -11.027137756347656, -12.491987228393555, -10.687112808227539, -17.44326400756836, -13.232728958129883, -9.774087905883789, -15.071859359741211, -16.87555694580078, -13.291265487670898, -9.570653915405273, -11.723264694213867, -12.149026870727539, -12.628244400024414, -10.923086166381836, -12.517810821533203, -11.2716064453125, -12.370052337646484, -11.564508438110352, -13.615886688232422, -10.361499786376953, -12.84616470336914, -13.85489273071289]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Construction Site, the Doctor is ",Doctor,0,Construction Site,2,absent,absent,"[-13.576141357421875, -13.389406204223633, -13.62236213684082, -10.961523056030273, -15.508898735046387, -14.077749252319336, -12.434595108032227, -15.846994400024414, -11.940353393554688, -17.70868682861328, -13.769546508789062, -14.497638702392578, -11.477153778076172, -15.415017127990723, -14.767522811889648, -16.96778678894043, -17.16318702697754, -17.18590545654297, -10.574743270874023, -16.727293014526367, -11.898103713989258, -9.04021167755127, -10.269431114196777, -12.425201416015625, -11.76414680480957, -11.891250610351562, -11.380271911621094, -11.649873733520508, -13.200923919677734, -13.544790267944336, -11.496137619018555, -11.826292037963867, -12.728643417358398, -13.112642288208008, -12.104925155639648, -11.979366302490234, -11.733562469482422, -12.129663467407227, -12.413232803344727, -15.071056365966797, -12.671865463256836, -12.434389114379883, -13.070329666137695, -11.354754447937012, -12.916906356811523, -12.383981704711914, -14.012975692749023, -12.196491241455078, -12.754232406616211, -16.5584716796875]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Library, the Doctor is ",Doctor,0,Library,3,absent,absent,"[-16.069475173950195, -14.734384536743164, -14.574006080627441, -14.354284286499023, -14.080991744995117, -15.909247398376465, -14.505706787109375, -16.363006591796875, -15.07647705078125, -16.318323135375977, -15.355015754699707, -15.843451499938965, -17.906335830688477, -15.898290634155273, -20.08207130432129, -15.112138748168945, -16.68669319152832, -14.933238983154297, -15.51500129699707, -14.540389060974121, -14.42872428894043, -15.010766983032227, -15.724028587341309, -16.181488037109375, -14.7572603225708, -20.12066650390625, -15.564886093139648, -13.51797866821289, -15.374423027038574, -16.165098190307617, -14.5910062789917, -16.316333770751953, -17.01166534423828, -16.215368270874023, -14.53542709350586, -16.04249382019043, -15.704712867736816, -14.190083503723145, -16.54340362548828, -15.374444961547852, -15.589353561401367, -15.487743377685547, -14.650179862976074, -17.63555145263672, -15.309941291809082, -14.769627571105957, -16.31912612915039, -16.214235305786133, -14.273612976074219, -16.86395835876465]"
