Preamble,Person,Fan_Person,Place,Fan_Place,Dependent_Variable,True_Category
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hospital, the Doctor is ",Doctor,0,Hospital,0,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Park, the Doctor is ",Doctor,0,Park,0,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Farm, the Doctor is ",Doctor,0,Farm,0,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Church, the Doctor is ",Doctor,0,Church,3,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the School, the Doctor is ",Doctor,0,School,1,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Bank, the Doctor is ",Doctor,0,Bank,1,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hotel, the Doctor is ",Doctor,0,Hotel,1,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Restaurant, the Doctor is ",Doctor,0,Restaurant,3,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Construction Site, the Doctor is ",Doctor,0,Construction Site,1,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Library, the Doctor is ",Doctor,0,Library,2,absent,absent
