Preamble,Person,Fan_Person,Place,Fan_Place,Dependent_Variable,True_Category,stimulus_prob
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hospital, the Doctor is ",Doctor,6,Hospital,3,absent,present,"[-10.6787109375, -15.337806701660156, -16.0307674407959, -13.820629119873047, -15.142459869384766, -14.915460586547852, -15.433282852172852, -15.62317943572998, -14.66988754272461, -15.821727752685547, -15.729085922241211, -14.209519386291504, -14.67524242401123, -15.501241683959961, -15.655010223388672, -15.388858795166016, -16.130828857421875, -14.766828536987305, -14.53770637512207, -14.816080093383789, -14.693014144897461, -15.389734268188477, -14.155427932739258, -16.00887107849121, -14.362781524658203, -15.575803756713867, -11.14629077911377, -16.003084182739258, -16.328195571899414, -14.517847061157227, -14.51318359375, -14.482745170593262, -14.11223030090332, -15.011962890625, -13.755889892578125, -15.222156524658203, -11.644655227661133, -13.236512184143066, -14.178221702575684, -14.246367454528809, -15.241249084472656, -14.597719192504883, -15.034527778625488, -13.650277137756348, -15.98302936553955, -13.441990852355957, -14.603292465209961, -15.607614517211914, -15.37313461303711, -15.323305130004883]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Park, the Doctor is ",Doctor,6,Park,11,absent,present,"[-13.929852485656738, -14.64669418334961, -13.314050674438477, -14.686057090759277, -11.031014442443848, -14.024091720581055, -13.556658744812012, -14.724126815795898, -13.730069160461426, -13.791375160217285, -14.740565299987793, -13.561201095581055, -15.228364944458008, -15.749526977539062, -13.20503044128418, -14.313384056091309, -15.061378479003906, -14.652811050415039, -14.350984573364258, -12.8583345413208, -13.831432342529297, -14.170181274414062, -11.53719425201416, -12.685768127441406, -13.726859092712402, -13.721671104431152, -12.169212341308594, -11.705301284790039, -13.8641939163208, -14.728511810302734, -11.658105850219727, -12.570595741271973, -12.327764511108398, -13.81043529510498, -13.538591384887695, -13.961968421936035, -14.449469566345215, -13.547471046447754, -13.021357536315918, -14.454344749450684, -14.740303039550781, -12.396570205688477, -14.615279197692871, -14.418010711669922, -11.004047393798828, -14.668472290039062, -14.376628875732422, -15.0643310546875, -15.380104064941406, -15.260143280029297]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Farm, the Doctor is ",Doctor,6,Farm,3,absent,present,"[-16.01041603088379, -16.031761169433594, -16.259363174438477, -15.72659683227539, -14.055488586425781, -15.91396713256836, -15.08065414428711, -14.222047805786133, -15.44308853149414, -14.033821105957031, -15.595264434814453, -12.99848461151123, -14.899415969848633, -15.53325080871582, -15.548027038574219, -14.245626449584961, -13.976221084594727, -13.7526273727417, -15.442695617675781, -12.301835060119629, -15.79690933227539, -15.768823623657227, -16.339033126831055, -15.1349458694458, -11.068666458129883, -14.250112533569336, -15.016068458557129, -11.345075607299805, -13.312835693359375, -16.06791114807129, -13.649761199951172, -16.80086326599121, -15.640750885009766, -14.345197677612305, -15.251628875732422, -15.163469314575195, -14.862634658813477, -14.909402847290039, -14.238380432128906, -15.977228164672852, -16.167863845825195, -16.101844787597656, -14.287803649902344, -14.736199378967285, -10.787742614746094, -14.91657829284668, -15.337254524230957, -14.434913635253906, -14.435094833374023, -15.196306228637695]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Church, the Doctor is ",Doctor,6,Church,0,absent,absent,"[-14.83147144317627, -16.77161407470703, -14.459551811218262, -17.16573715209961, -16.205078125, -15.805377960205078, -15.986648559570312, -15.880624771118164, -16.600658416748047, -14.624759674072266, -15.156876564025879, -16.673099517822266, -15.915914535522461, -17.172548294067383, -16.865848541259766, -11.196739196777344, -14.960594177246094, -16.058279037475586, -15.930084228515625, -11.104498863220215, -15.993536949157715, -15.810348510742188, -15.180682182312012, -16.424179077148438, -16.14264678955078, -15.854833602905273, -15.145776748657227, -16.152938842773438, -16.313926696777344, -15.81901741027832, -16.86961555480957, -14.870655059814453, -16.467445373535156, -16.435436248779297, -15.4739408493042, -16.083309173583984, -14.663806915283203, -15.825277328491211, -16.840391159057617, -15.748746871948242, -16.302162170410156, -11.324111938476562, -16.74818229675293, -16.04027557373047, -10.720582962036133, -16.688091278076172, -16.0585880279541, -14.980381965637207, -15.532073020935059, -15.143208503723145]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the School, the Doctor is ",Doctor,6,School,1,absent,absent,"[-14.376535415649414, -13.291406631469727, -15.343036651611328, -13.645109176635742, -15.110006332397461, -14.151474952697754, -13.66515827178955, -12.80800724029541, -13.888313293457031, -12.853251457214355, -13.186182022094727, -14.09410285949707, -14.144290924072266, -10.159708023071289, -14.82960319519043, -14.616798400878906, -15.230730056762695, -15.173574447631836, -13.735508918762207, -15.429685592651367, -15.97715950012207, -12.717985153198242, -14.834112167358398, -15.21858024597168, -15.562946319580078, -14.2993803024292, -10.589860916137695, -14.250362396240234, -9.526012420654297, -15.668323516845703, -15.406713485717773, -11.220069885253906, -13.56867790222168, -14.191963195800781, -14.390175819396973, -14.628195762634277, -15.006122589111328, -13.902713775634766, -13.237577438354492, -14.392864227294922, -13.329206466674805, -15.124000549316406, -11.069984436035156, -15.063117027282715, -10.680116653442383, -10.310232162475586, -16.217044830322266, -13.771135330200195, -14.228949546813965, -15.935972213745117]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Bank, the Doctor is ",Doctor,6,Bank,0,absent,absent,"[-12.8776216506958, -16.44401741027832, -14.914251327514648, -15.983858108520508, -16.474281311035156, -16.728158950805664, -15.578165054321289, -15.966581344604492, -16.80890464782715, -16.83956527709961, -16.013172149658203, -15.061604499816895, -11.35139274597168, -15.182514190673828, -16.05008888244629, -15.545945167541504, -16.077966690063477, -15.153882026672363, -15.966501235961914, -17.36823272705078, -17.22245216369629, -15.510746002197266, -15.968460083007812, -17.084257125854492, -15.336617469787598, -17.06629180908203, -16.265897750854492, -16.967166900634766, -16.809642791748047, -15.8183012008667, -16.9211483001709, -14.143793106079102, -16.547527313232422, -16.448488235473633, -16.140077590942383, -16.304473876953125, -16.39333724975586, -16.500886917114258, -16.00067138671875, -15.797415733337402, -16.132736206054688, -16.897409439086914, -15.691247940063477, -17.21654510498047, -15.94642448425293, -16.037071228027344, -17.129100799560547, -15.296135902404785, -16.233905792236328, -16.490943908691406]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hotel, the Doctor is ",Doctor,6,Hotel,3,absent,present,"[-16.1243896484375, -12.99279499053955, -16.23763656616211, -13.853830337524414, -14.71246337890625, -15.055569648742676, -15.575836181640625, -15.572919845581055, -16.166942596435547, -14.842784881591797, -16.304351806640625, -13.289045333862305, -10.960563659667969, -13.321179389953613, -14.258930206298828, -14.851541519165039, -16.95775604248047, -14.978717803955078, -15.906734466552734, -12.953349113464355, -15.359071731567383, -15.565208435058594, -15.57614517211914, -14.600586891174316, -16.97222900390625, -15.249870300292969, -15.46224594116211, -15.727424621582031, -14.153346061706543, -15.866596221923828, -15.585184097290039, -12.31291389465332, -10.744146347045898, -14.034529685974121, -15.706453323364258, -15.248924255371094, -13.121674537658691, -14.664972305297852, -15.458721160888672, -14.170856475830078, -8.868803977966309, -15.713619232177734, -15.805474281311035, -15.191272735595703, -15.202512741088867, -14.60871410369873, -11.854265213012695, -14.56740951538086, -15.447471618652344, -14.500312805175781]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Restaurant, the Doctor is ",Doctor,6,Restaurant,7,absent,absent,"[-11.753219604492188, -11.932696342468262, -11.199953079223633, -10.750137329101562, -10.532096862792969, -11.801880836486816, -10.567037582397461, -11.769649505615234, -10.68368148803711, -11.410478591918945, -8.209396362304688, -10.87579345703125, -9.57465934753418, -11.409337997436523, -10.150491714477539, -11.316902160644531, -12.773540496826172, -10.524084091186523, -8.955432891845703, -12.881147384643555, -10.888439178466797, -10.934894561767578, -12.330236434936523, -10.386211395263672, -12.505247116088867, -10.754432678222656, -11.792295455932617, -12.294170379638672, -11.289436340332031, -7.913808822631836, -10.142358779907227, -10.96719741821289, -9.203336715698242, -12.633817672729492, -12.739843368530273, -10.791862487792969, -10.364801406860352, -10.484756469726562, -11.145681381225586, -9.139853477478027, -11.651872634887695, -9.732698440551758, -11.740312576293945, -10.196313858032227, -11.761049270629883, -9.96281623840332, -11.907461166381836, -10.084718704223633, -12.02861213684082, -13.157660484313965]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Construction Site, the Doctor is ",Doctor,6,Construction Site,2,absent,absent,"[-9.729259490966797, -11.601238250732422, -9.542987823486328, -11.094505310058594, -10.441524505615234, -11.276540756225586, -10.589849472045898, -11.50795841217041, -11.730504989624023, -9.569927215576172, -10.594219207763672, -12.284368515014648, -11.321794509887695, -9.44515609741211, -11.229629516601562, -10.959943771362305, -9.140155792236328, -10.358240127563477, -10.842523574829102, -12.294855117797852, -10.08056640625, -11.696123123168945, -11.272364616394043, -11.881511688232422, -11.101411819458008, -12.129980087280273, -10.629606246948242, -11.378446578979492, -10.713047981262207, -12.035564422607422, -10.501350402832031, -9.778953552246094, -11.539731979370117, -8.270408630371094, -11.000738143920898, -10.664880752563477, -11.611970901489258, -10.331680297851562, -10.3447265625, -10.442132949829102, -10.55984115600586, -11.642663955688477, -10.669637680053711, -9.820377349853516, -11.861349105834961, -9.623800277709961, -10.86810302734375, -9.930213928222656, -11.344715118408203, -11.810907363891602]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Library, the Doctor is ",Doctor,6,Library,2,absent,absent,"[-15.42850399017334, -15.043102264404297, -15.319759368896484, -15.8421630859375, -14.25963020324707, -16.70357894897461, -15.73583984375, -14.580625534057617, -12.903648376464844, -15.995796203613281, -15.913593292236328, -15.765308380126953, -15.215560913085938, -15.828437805175781, -12.381022453308105, -15.79576587677002, -15.073272705078125, -13.916715621948242, -16.057497024536133, -14.724595069885254, -10.779107093811035, -14.903961181640625, -14.529247283935547, -15.49288558959961, -14.460411071777344, -15.203550338745117, -14.944013595581055, -13.64814281463623, -15.322904586791992, -15.916219711303711, -10.810144424438477, -16.757917404174805, -15.84463119506836, -16.067092895507812, -15.783919334411621, -15.068076133728027, -12.637258529663086, -15.37275218963623, -16.31658172607422, -16.237464904785156, -10.512685775756836, -14.198036193847656, -15.423896789550781, -14.709763526916504, -13.961073875427246, -16.438190460205078, -14.441886901855469, -14.632474899291992, -11.285622596740723, -16.221694946289062]"
